filename, count_rgb, count_hsv
IMG_3981.JPG,51,112
IMG_4020.JPG,99,130
IMG_4021.JPG,248,135
IMG_4100.JPG,115,40
IMG_4101.JPG,30,4
IMG_4600.JPG,532,510
IMG_4601.JPG,229,204
IMG_4602.JPG,219,199
IMG_4603.JPG,111,101
IMG_4604.JPG,259,158
IMG_4605.JPG,323,303
IMG_4606.JPG,287,255
IMG_4607.JPG,129,121
IMG_4608.JPG,20,40
IMG_4609.JPG,18,1
IMG_4610.JPG,172,109
IMG_4611.JPG,24,6
IMG_4612.JPG,27,5
IMG_4613.JPG,43,25
IMG_4614.JPG,44,9
IMG_4615.JPG,23,7
IMG_4616.JPG,95,19
IMG_4617.JPG,132,40
IMG_4618.JPG,50,44
IMG_4619.JPG,45,13
IMG_4620.JPG,18,4
IMG_4621.JPG,22,16
IMG_4622.JPG,29,10
IMG_4623.JPG,89,46
IMG_4624.JPG,317,207
IMG_4625.JPG,760,499
IMG_4626.JPG,1516,1237
IMG_4627.JPG,868,714
IMG_4628.JPG,998,748
IMG_4629.JPG,1364,1408
IMG_4630.JPG,1173,1090
IMG_4631.JPG,701,757
IMG_4632.JPG,56,11
IMG_4633.JPG,52,11
IMG_4634.JPG,73,40
IMG_4635.JPG,81,49
IMG_4636.JPG,41,14
IMG_4637.JPG,378,50
IMG_4638.JPG,417,43
IMG_4639.JPG,155,97
IMG_4640.JPG,50,46
IMG_4641.JPG,248,155
IMG_4642.JPG,722,335
IMG_4643.JPG,22,19
IMG_4644.JPG,44,90
IMG_4645.JPG,336,346
IMG_4646.JPG,38,53
IMG_4647.JPG,52,31
IMG_4648.JPG,22,17
IMG_4649.JPG,62,35
IMG_4650.JPG,10,13
IMG_4651.JPG,18,22
IMG_4652.JPG,46,37
IMG_4653.JPG,55,21
IMG_4654.JPG,97,97
IMG_4656.JPG,35,79
